CODES,DATES,CLOSE
000300.SH,2014/02/14,2295.575
000300.SH,2014/02/17,2311.647
000300.SH,2014/02/18,2282.442
000300.SH,2014/02/19,2308.656
000300.SH,2014/02/20,2287.436
000300.SH,2014/02/21,2264.294
000300.SH,2014/02/24,2214.509
000300.SH,2014/02/25,2157.909
000300.SH,2014/02/26,2163.405
000300.SH,2014/02/27,2154.108
000300.SH,2014/02/28,2178.971
000300.SH,2014/03/03,2190.37
000300.SH,2014/03/04,2184.273
000300.SH,2014/03/05,2163.976
000300.SH,2014/03/06,2173.634
000300.SH,2014/03/07,2168.358
000300.SH,2014/03/10,2097.787
000300.SH,2014/03/11,2108.661
000300.SH,2014/03/12,2114.134
000300.SH,2014/03/13,2140.333
000300.SH,2014/03/14,2122.836
000300.SH,2014/03/17,2143.038
000300.SH,2014/03/18,2138.133
000300.SH,2014/03/19,2120.87
000300.SH,2014/03/20,2086.967
000300.SH,2014/03/21,2158.798
000300.SH,2014/03/24,2176.554
000300.SH,2014/03/25,2174.44
000300.SH,2014/03/26,2171.047
000300.SH,2014/03/27,2155.707
000300.SH,2014/03/28,2151.965
000300.SH,2014/03/31,2146.305
000300.SH,2014/04/01,2163.115
000300.SH,2014/04/02,2180.727
000300.SH,2014/04/03,2165.008
000300.SH,2014/04/04,2185.472
000300.SH,2014/04/08,2237.316
000300.SH,2014/04/09,2238.62
000300.SH,2014/04/10,2273.761
000300.SH,2014/04/11,2270.666
000300.SH,2014/04/14,2268.613
000300.SH,2014/04/15,2229.463
000300.SH,2014/04/16,2232.526
000300.SH,2014/04/17,2224.803
000300.SH,2014/04/18,2224.479
000300.SH,2014/04/21,2187.248
000300.SH,2014/04/22,2196.795
000300.SH,2014/04/23,2194.668
000300.SH,2014/04/24,2190.474
000300.SH,2014/04/25,2167.826
000300.SH,2014/04/28,2134.969
000300.SH,2014/04/29,2158.47
000300.SH,2014/04/30,2158.659
000300.SH,2014/05/05,2156.47
000300.SH,2014/05/06,2157.328
000300.SH,2014/05/07,2137.316
000300.SH,2014/05/08,2135.496
000300.SH,2014/05/09,2133.911
000300.SH,2014/05/12,2180.054
000300.SH,2014/05/13,2174.852
000300.SH,2014/05/14,2172.372
000300.SH,2014/05/15,2144.084
000300.SH,2014/05/16,2145.952
000300.SH,2014/05/19,2115.143
000300.SH,2014/05/20,2115.771
000300.SH,2014/05/21,2135.905
000300.SH,2014/05/22,2130.868
000300.SH,2014/05/23,2148.414
000300.SH,2014/05/26,2155.976
000300.SH,2014/05/27,2147.28
000300.SH,2014/05/28,2169.352
000300.SH,2014/05/29,2155.164
000300.SH,2014/05/30,2156.464
000300.SH,2014/06/03,2149.918
000300.SH,2014/06/04,2128.274
000300.SH,2014/06/05,2150.602
000300.SH,2014/06/06,2134.716
000300.SH,2014/06/09,2134.281
000300.SH,2014/06/10,2161.268
000300.SH,2014/06/11,2160.766
000300.SH,2014/06/12,2153.41
000300.SH,2014/06/13,2176.242
000300.SH,2014/06/16,2191.855
000300.SH,2014/06/17,2169.674
000300.SH,2014/06/18,2160.239
000300.SH,2014/06/19,2126.907
000300.SH,2014/06/20,2136.729
000300.SH,2014/06/23,2134.11
000300.SH,2014/06/24,2144.821
000300.SH,2014/06/25,2133.371
000300.SH,2014/06/26,2149.076
000300.SH,2014/06/27,2150.258
000300.SH,2014/06/30,2165.118
000300.SH,2014/07/01,2164.559
000300.SH,2014/07/02,2170.867
000300.SH,2014/07/03,2180.192
000300.SH,2014/07/04,2178.695
000300.SH,2014/07/07,2176.289
000300.SH,2014/07/08,2180.473
000300.SH,2014/07/09,2148.71
000300.SH,2014/07/10,2142.847
000300.SH,2014/07/11,2148.009
000300.SH,2014/07/14,2171.758
000300.SH,2014/07/15,2174.976
000300.SH,2014/07/16,2170.868
000300.SH,2014/07/17,2157.068
000300.SH,2014/07/18,2164.144
000300.SH,2014/07/21,2166.295
000300.SH,2014/07/22,2192.698
000300.SH,2014/07/23,2197.833
000300.SH,2014/07/24,2237.015
000300.SH,2014/07/25,2260.454
000300.SH,2014/07/28,2323.897
000300.SH,2014/07/29,2331.369
000300.SH,2014/07/30,2322.011
000300.SH,2014/07/31,2350.251
000300.SH,2014/08/01,2329.402
